DATE,CODE,NAME,WEBSITE LINK, LAST 12 MONTHS Low,LAST 12 MONTHS High,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
05-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY, 6.80 , 10.50 , 7.50 , 7.60 , 7.50 , 7.70 , (0.20),2.60%,6200,
05-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM, 9.50 , 16.50 , 13.00 , 13.00 , 13.00 , 13.00 , - ,-,-,
05-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM, 15.15 , 27.80 , 16.45 , 17.50 , 17.10 , 16.45 , 0.65 ,3.95%,16900,
05-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR, 0.33 , 0.53 , 0.40 , 0.44 , 0.41 , 0.42 , (0.01),2.38%,17700,
05-01-21,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ", - ,-,-,
05-01-21,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH, 1.81 , 2.60 , 2.20 , 2.20 , 2.20 , 2.20 , - ,-,200,
05-01-21,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL, 1.01 , 2.68 , 1.49 , 1.50 , 1.50 , 1.48 , 0.02 ,1.35%,900,
05-01-21,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE, 6.50 , 9.98 , 8.16 , 8.40 , 8.40 , 8.30 , 0.10 ,1.20%,7500,
05-01-21,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC, 53.00 , 72.00 , 63.00 , 63.00 , 63.00 , 63.00 , - ,-,-,
05-01-21,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT, 305.00 , 500.00 , 385.00 , 385.00 , 385.00 , 361.00 , 24.00 ,6.65%,113200,
05-01-21,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB, 7.80 , 13.00 , 12.10 , 12.40 , 12.25 , 12.10 , 0.15 ,1.24%,66400,
05-01-21,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 143.25 , 185.00 , 154.00 , 158.00 , 155.00 , 154.00 , 1.00 ,0.65%,6200,
05-01-21,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 0.76 , 2.01 , 1.25 , 1.30 , 1.25 , 1.23 , 0.02 ,1.63%,1100,
05-01-21,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 10.50 , 10.50 , 10.50 , 10.50 , - ,-,-,
