DATE,CODE,NAME,WEBSITE LINK,  LAST 12 MONTHS Low , LAST 12 MONTHS High , DAY'S TRADING Low , DAY'S TRADING High , DAY'S TRADING VWAP Price , Previous DAY'S VWAP Price ,  Change  ,,Volume of Shares Traded, VWAP Adjusted Price for bonus issues and share splits 
17-08-18,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA, 26.10 , 33.00 , 40.00 , 40.00 , 40.00 , 40.00 ,  -  ,-,100, - 
17-08-18,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM, 25.95 , 43.45 , 28.75 , 29.50 , 29.00 , 28.75 , 0.25 ,0.87%,961200, - 
17-08-18,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR, 4.98 , 7.10 , 10.20 , 10.25 , 10.20 , 10.15 , 0.05 ,0.49%,7500, - 
17-08-18,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD," 1,835.00 "," 2,100.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 ",  -  ,-,-, - 
17-08-18,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15, 152.56 , 213.26 , 218.31 , 221.40 , 219.02 , 218.35 , 0.67 ,0.31%,-, - 
17-08-18,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25, 167.57 , 238.93 , 225.97 , 229.48 , 226.87 , 226.00 , 0.87 ,0.38%,-, - 
17-08-18,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I," 1,723.96 "," 1,969.79 "," 3,336.06 "," 3,336.06 "," 3,336.06 "," 3,334.67 ", 1.39 ,0.04%,-, - 
17-08-18,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I," 2,935.01 "," 3,904.50 "," 4,517.13 "," 4,517.13 "," 4,517.13 "," 4,508.31 ", 8.82 ,0.20%,-, - 
17-08-18,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI, 127.01 , 178.78 , 174.59 , 174.59 , 174.59 , 173.95 , 0.64 ,0.37%,-, - 
17-08-18,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK," 1,511.03 "," 2,186.79 "," 2,028.17 "," 2,028.17 "," 2,028.17 "," 2,021.34 ", 6.83 ,0.34%,-, - 
17-08-18,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU," 1,201.29 "," 1,740.41 "," 1,731.88 "," 1,731.88 "," 1,731.88 "," 1,727.41 ", 4.47 ,0.26%,-, - 
20-08-18,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 9.00 , 15.00 , 20.25 , 20.25 , 20.25 , 20.25 ,  -  ,-,-, - 
20-08-18,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 351.00 , 405.00 , 320.00 , 320.00 , 320.00 , 320.00 ,  -  ,-,600, - 
20-08-18,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 68.50 , 99.00 , 99.00 , 99.00 , 99.00 , 99.00 ,  -  ,-,3800, - 
20-08-18,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 290.00 , 400.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,-, - 
20-08-18,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 16.00 , 20.00 , 20.00 , 21.00 , 20.75 , 21.75 , (1.00),4.60%,33700, - 
20-08-18,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 119.00 , 154.75 , 169.00 , 172.00 , 169.00 , 170.00 , (1.00),0.59%,17800, - 
